CUSTOMER ID,GENDER,AGE,INCOME,EXPERIENCE SCORE,LOYALTY GROUP,ENROLLMENT DATE,HOUSEHOLD SIZE,MARITAL STATUS
10033,1,25," $39,485 ",1,not enrolled,NA,1,Single
10034,1,42," $95,058 ",7,enrolled,8/28/2004,5,Married
10035,1,23," $34,628 ",6,not enrolled,NA,1,Single
10036,1,22," $32,672 ",10,not enrolled,NA,2,Single
10037,1,31," $57,724 ",9,not enrolled,NA,3,Married
10038,1,49," $116,089 ",7,enrolled,8/18/2010,6,Married
10039,1,55," $121,686 ",8,enrolled,11/16/2004,5,Married
10040,0,29," $48,467 ",10,not enrolled,NA,3,Married
10041,1,22," $32,903 ",6,enrolled,8/19/2014,1,Single
10042,0,37," $80,262 ",3,not enrolled,NA,1,Single
10043,0,33," $65,637 ",6,not enrolled,NA,3,Married
10044,1,33," $65,813 ",1,not enrolled,NA,5,Single
10045,1,83," $143,119 ",10,enrolled,11/12/2009,2,Married
10046,1,23," $34,960 ",8,enrolled,5/23/2014,3,Married
10047,0,26," $41,663 ",8,not enrolled,NA,3,Single
10048,1,35," $75,267 ",1,not enrolled,NA,1,Divorced
10049,0,77," $139,844 ",6,not enrolled,NA,2,Single
10050,1,30," $51,764 ",5,enrolled,7/26/2015,2,Single
10051,1,49," $116,394 ",6,enrolled,7/22/2014,5,Married
10052,0,24," $36,642 ",6,enrolled,4/1/2016,4,Married
10053,1,31," $57,764 ",5,not enrolled,NA,5,Married
10054,0,30," $51,902 ",10,not enrolled,NA,3,Single
10055,1,44," $101,813 ",7,not enrolled,NA,1,Single
10056,1,25," $39,540 ",9,not enrolled,NA,2,Married
10057,1,45," $107,004 ",6,not enrolled,NA,2,Single
10058,0,48," $113,341 ",9,enrolled,11/23/2015,3,Married
10059,0,45," $107,283 ",10,enrolled,10/4/2009,6,Married
10060,1,18," $20,791 ",10,not enrolled,NA,2,Married
10061,1,38," $84,331 ",1,not enrolled,NA,4,Married
10062,1,46," $110,949 ",5,enrolled,3/10/2006,5,Married
10063,1,88," $147,611 ",4,not enrolled,NA,2,Single
10064,1,45," $107,301 ",9,not enrolled,NA,2,Married
10065,0,70," $137,625 ",4,not enrolled,NA,1,Divorced
10066,1,35," $75,282 ",10,enrolled,6/7/2008,4,Married
10067,0,41," $91,697 ",5,not enrolled,NA,2,Divorced
10068,1,53," $119,400 ",8,not enrolled,NA,4,Single
10069,1,21," $28,385 ",9,enrolled,7/20/2014,2,Single
10070,0,34," $69,631 ",10,enrolled,8/9/2012,6,Married
10071,1,34," $70,190 ",6,enrolled,9/9/2013,5,Married
10072,0,25," $39,563 ",5,enrolled,1/18/2010,3,Married
10073,1,32," $60,048 ",5,not enrolled,NA,4,Married
10074,0,33," $66,435 ",8,enrolled,9/18/2009,3,Single
10075,0,67," $135,761 ",9,enrolled,9/5/2012,3,Married
10076,1,26," $41,721 ",9,not enrolled,NA,2,Married
10077,1,40," $89,297 ",7,not enrolled,NA,6,Married
10078,1,28," $45,572 ",8,not enrolled,NA,2,Single
10079,1,34," $70,478 ",6,enrolled,5/19/2006,2,Single
10080,1,69," $137,235 ",9,enrolled,9/3/2013,2,Married
10081,0,36," $77,109 ",5,not enrolled,NA,6,Single
10082,0,45," $107,699 ",9,enrolled,9/21/2013,1,Divorced
10083,0,78," $139,995 ",9,enrolled,9/28/2013,3,Married
10084,0,46," $111,034 ",9,not enrolled,NA,5,Widow/Widower
10085,0,31," $57,925 ",6,enrolled,5/19/2010,6,Married
10086,0,43," $98,237 ",9,not enrolled,NA,2,Single
10087,1,85," $144,142 ",5,enrolled,1/18/2011,3,Married
10088,0,28," $45,575 ",5,enrolled,9/11/2011,1,Single
10089,1,39," $86,038 ",10,enrolled,3/9/2009,3,Single
10090,0,20," $24,369 ",8,enrolled,4/29/2014,1,Single
10091,0,46," $111,338 ",6,enrolled,5/1/2007,1,Single
10092,1,89," $147,823 ",10,enrolled,10/26/2007,1,Widow/Widower
10093,0,53," $119,442 ",6,not enrolled,NA,1,Single
10094,1,53," $119,814 ",7,enrolled,7/4/2009,6,Married
10095,1,45," $107,971 ",8,enrolled,11/18/2005,6,Married
10096,0,36," $77,211 ",7,not enrolled,NA,4,Married
10097,0,43," $98,265 ",6,enrolled,2/12/2015,5,Married
10098,0,29," $48,572 ",3,not enrolled,NA,3,Married
10099,0,84," $144,119 ",5,enrolled,8/17/2005,1,Single
10100,1,47," $112,134 ",8,enrolled,3/17/2012,2,Single
10101,1,20," $24,567 ",9,not enrolled,NA,1,Single
10102,1,24," $36,793 ",7,enrolled,10/30/2014,3,Married
10103,1,30," $51,978 ",7,not enrolled,NA,4,Married
10104,0,19," $23,436 ",10,enrolled,4/30/2015,1,Single
10105,0,33," $66,689 ",8,enrolled,11/29/2004,4,Married
10106,0,44," $101,887 ",5,enrolled,4/27/2010,3,Married
10107,1,52," $118,620 ",7,not enrolled,NA,5,Married
10108,1,27," $43,664 ",8,not enrolled,NA,3,Married
10109,1,36," $77,486 ",6,enrolled,4/19/2015,5,Married
10110,1,30," $52,097 ",1,not enrolled,NA,1,Single
10111,1,23," $34,983 ",10,enrolled,12/22/2013,3,Single
10112,0,28," $45,718 ",4,not enrolled,NA,4,Married
10113,0,34," $70,561 ",1,not enrolled,NA,5,Married
10114,1,26," $41,777 ",10,not enrolled,NA,1,Single
10115,1,43," $98,338 ",5,enrolled,9/12/2010,6,Married
10116,0,30," $52,222 ",7,not enrolled,NA,1,Single
10117,1,67," $135,945 ",5,enrolled,9/25/2004,3,Married
10118,1,88," $147,645 ",7,enrolled,7/4/2007,3,Widow/Widower
10119,0,35," $75,344 ",9,not enrolled,NA,3,Married
10120,0,33," $66,962 ",3,not enrolled,NA,1,Single
10121,0,26," $41,798 ",2,not enrolled,NA,1,Single
10122,0,42," $95,562 ",7,not enrolled,NA,5,Married
10123,1,52," $118,652 ",8,enrolled,1/27/2015,3,Married
10124,1,23," $35,123 ",7,enrolled,9/3/2011,1,Single
10125,1,40," $89,385 ",1,not enrolled,NA,5,Married
10126,0,33," $67,018 ",10,enrolled,11/21/2015,1,Divorced
10127,1,53," $119,822 ",9,enrolled,5/18/2014,6,Married
10128,1,34," $70,906 ",1,not enrolled,NA,2,Married
10129,0,27," $43,932 ",8,not enrolled,NA,3,Married
10130,1,62," $131,013 ",10,enrolled,1/14/2004,4,Married
10131,0,36," $77,924 ",2,not enrolled,NA,4,Single
10132,1,41," $91,751 ",1,not enrolled,NA,2,Single
10133,0,30," $52,429 ",3,not enrolled,NA,3,Married
10134,1,38," $84,362 ",5,not enrolled,NA,3,Married
10135,1,59," $127,154 ",10,enrolled,3/22/2012,1,Single
10136,0,42," $95,616 ",6,not enrolled,NA,6,Widow/Widower
10137,0,89," $147,993 ",5,enrolled,6/15/2006,1,Single
10138,0,73," $137,983 ",7,not enrolled,NA,1,Widow/Widower
10139,1,46," $111,840 ",9,not enrolled,NA,2,Widow/Widower
10140,1,35," $75,688 ",3,not enrolled,NA,3,Married
10141,1,35," $75,713 ",8,not enrolled,NA,1,Single
10142,0,20," $25,008 ",9,enrolled,3/28/2014,2,Married
10143,0,28," $46,858 ",10,enrolled,11/7/2010,2,Single
10144,0,25," $39,602 ",4,not enrolled,NA,2,Married
10145,1,33," $67,457 ",1,not enrolled,NA,5,Married
10146,1,52," $118,664 ",9,not enrolled,NA,5,Married
10147,0,42," $95,638 ",1,not enrolled,NA,6,Married
10148,0,26," $42,245 ",3,not enrolled,NA,1,Single
10149,0,44," $102,159 ",9,enrolled,3/13/2006,3,Married
10150,0,34," $71,225 ",9,not enrolled,NA,1,Single
10151,0,40," $89,416 ",5,not enrolled,NA,1,Divorced
10152,1,49," $116,735 ",6,enrolled,3/28/2009,2,Married
10153,1,52," $118,666 ",4,not enrolled,NA,4,Married
10154,0,51," $118,393 ",7,enrolled,9/2/2011,4,Married
10155,0,40," $89,740 ",8,not enrolled,NA,2,Single
10156,1,44," $102,412 ",6,not enrolled,NA,1,Widow/Widower
10157,0,30," $52,429 ",10,not enrolled,NA,2,Divorced
10158,0,28," $47,118 ",4,not enrolled,NA,2,Married
10159,0,54," $120,514 ",9,not enrolled,NA,6,Married
10160,0,25," $39,710 ",8,not enrolled,NA,3,Single
10161,1,88," $147,682 ",4,not enrolled,NA,2,Widow/Widower
10162,0,20," $25,105 ",8,enrolled,6/27/2014,2,Married
10163,0,74," $138,432 ",8,enrolled,4/12/2015,1,Single
10164,1,45," $108,469 ",6,enrolled,12/15/2009,2,Single
10165,0,30," $52,521 ",2,not enrolled,NA,3,Married
10166,1,33," $68,116 ",5,enrolled,6/13/2005,3,Married
10167,0,23," $35,364 ",9,enrolled,6/14/2013,1,Single
10168,0,60," $128,680 ",6,enrolled,10/29/2005,4,Married
10169,0,37," $80,482 ",8,not enrolled,NA,6,Married
10170,0,19," $23,562 ",6,enrolled,10/29/2015,2,Married
10171,0,90," $148,935 ",9,enrolled,12/22/2009,3,Married
10172,1,20," $25,208 ",7,enrolled,11/26/2014,1,Single
10173,0,45," $108,666 ",9,enrolled,1/27/2007,1,Single
10174,0,43," $98,368 ",8,not enrolled,NA,3,Married
10175,0,60," $129,256 ",6,enrolled,7/26/2014,2,Married
10176,0,30," $52,582 ",4,not enrolled,NA,3,Married
10177,1,61," $130,789 ",9,not enrolled,NA,2,Single
10178,1,87," $146,982 ",9,not enrolled,NA,1,Divorced
10179,1,42," $95,792 ",7,enrolled,11/21/2006,2,Single
10180,0,21," $28,716 ",6,not enrolled,NA,2,Married
10181,1,74," $138,697 ",8,not enrolled,NA,2,Single
10182,0,29," $50,103 ",9,not enrolled,NA,3,Married
10183,0,37," $80,889 ",5,not enrolled,NA,2,Divorced
10184,0,20," $26,032 ",10,not enrolled,NA,2,Married
10185,0,47," $112,412 ",6,enrolled,1/11/2012,3,Married
10186,1,58," $125,493 ",7,enrolled,12/24/2004,2,Single
10187,0,55," $121,777 ",5,enrolled,9/8/2013,2,Divorced
10188,1,55," $121,783 ",8,enrolled,1/2/2005,2,Married
10189,1,19," $23,578 ",8,enrolled,7/20/2014,2,Single
10190,1,90," $149,948 ",5,enrolled,8/28/2004,2,Single
10191,0,18," $21,642 ",8,enrolled,5/18/2015,1,Single
10192,0,49," $117,048 ",6,enrolled,12/6/2004,1,Single
10193,1,53," $119,940 ",9,enrolled,2/2/2004,2,Married
10194,0,83," $143,817 ",4,not enrolled,NA,1,Single
10195,1,43," $98,637 ",5,not enrolled,NA,6,Married
10196,1,65," $134,051 ",9,enrolled,9/12/2005,3,Married
10197,0,56," $121,975 ",6,enrolled,3/31/2011,3,Divorced
10198,1,59," $127,706 ",6,enrolled,8/12/2007,3,Married
10199,0,49," $117,058 ",7,enrolled,2/25/2005,5,Married
10200,0,39," $86,532 ",5,enrolled,7/6/2003,4,Married
10201,1,42," $96,147 ",6,not enrolled,NA,2,Married
10202,0,25," $40,474 ",5,enrolled,2/13/2013,1,Single
10203,1,82," $143,043 ",5,not enrolled,NA,1,Single
10204,0,80," $141,363 ",7,not enrolled,NA,2,Single
10205,0,42," $96,175 ",4,not enrolled,NA,3,Married
10206,0,24," $37,194 ",7,enrolled,11/8/2014,3,Married
10207,0,40," $90,330 ",10,not enrolled,NA,4,Married
10208,1,68," $136,527 ",9,enrolled,6/4/2012,4,Married
10209,1,64," $133,609 ",2,not enrolled,NA,3,Single
10210,1,66," $134,441 ",7,enrolled,4/23/2008,2,Single
10211,1,61," $130,867 ",6,not enrolled,NA,3,Single
10212,0,21," $28,729 ",10,enrolled,2/29/2012,2,Married
10213,1,56," $122,318 ",7,enrolled,5/30/2015,6,Married
10214,0,35," $75,760 ",8,not enrolled,NA,1,Single
10215,0,86," $144,855 ",7,not enrolled,NA,1,Single
10216,0,47," $112,662 ",5,not enrolled,NA,1,Single
10217,1,31," $58,025 ",1,not enrolled,NA,6,Single
10218,1,44," $104,157 ",7,enrolled,11/3/2009,2,Single
10219,0,33," $68,356 ",6,not enrolled,NA,1,Single
10220,0,29," $50,442 ",4,not enrolled,NA,1,Single
10221,0,35," $75,768 ",7,not enrolled,NA,3,Married
10222,0,27," $43,989 ",1,not enrolled,NA,3,Married
10223,0,54," $120,572 ",6,enrolled,10/26/2005,5,Married
10224,1,28," $47,145 ",2,not enrolled,NA,2,Single
10225,1,30," $52,897 ",6,enrolled,10/7/2007,1,Single
10226,0,31," $58,306 ",8,enrolled,5/8/2010,5,Married
10227,1,53," $120,363 ",5,enrolled,9/17/2008,3,Married
10228,1,20," $26,080 ",7,enrolled,5/4/2013,1,Single
10229,1,26," $42,608 ",3,not enrolled,NA,4,Married
10230,0,40," $90,530 ",7,not enrolled,NA,3,Married
10231,1,44," $104,440 ",8,enrolled,4/24/2009,3,Single
10232,0,37," $81,442 ",8,not enrolled,NA,4,Divorced
10233,0,56," $122,366 ",8,enrolled,11/2/2015,6,Single
10234,1,39," $86,561 ",8,enrolled,7/3/2005,4,Divorced
10235,0,41," $92,052 ",9,not enrolled,NA,4,Married
10236,1,22," $32,921 ",8,enrolled,8/2/2011,1,Single
10237,0,52," $118,718 ",10,enrolled,5/14/2007,6,Married
10238,1,87," $147,049 ",10,not enrolled,NA,3,Married
10239,0,28," $47,155 ",3,not enrolled,NA,3,Single
10240,0,30," $53,475 ",6,enrolled,11/15/2012,4,Married
10241,0,18," $22,046 ",10,not enrolled,NA,1,Single
10242,0,32," $60,361 ",6,enrolled,2/24/2010,1,Single
10243,1,39," $86,725 ",7,not enrolled,NA,6,Married
10244,0,41," $92,091 ",9,enrolled,7/24/2004,4,Married
10245,0,34," $71,932 ",5,not enrolled,NA,5,Married
10246,0,18," $22,150 ",3,not enrolled,NA,2,Single
10247,0,45," $108,965 ",6,enrolled,8/31/2014,6,Married
10248,1,50," $118,138 ",8,enrolled,7/8/2007,6,Married
10249,1,67," $135,966 ",8,enrolled,9/14/2003,3,Married
10250,1,19," $23,760 ",9,enrolled,9/24/2015,1,Single
10251,1,32," $60,662 ",9,enrolled,4/16/2004,2,Married
10252,1,52," $118,728 ",7,enrolled,2/15/2015,5,Married
10253,0,28," $47,194 ",7,enrolled,1/14/2014,4,Married
10254,1,51," $118,444 ",6,enrolled,11/28/2014,5,Single
10255,0,26," $42,906 ",9,enrolled,1/8/2014,3,Married
10256,1,36," $78,449 ",6,enrolled,3/17/2003,1,Divorced
10257,1,23," $35,909 ",5,enrolled,6/1/2012,3,Single
10258,1,83," $144,022 ",8,enrolled,6/16/2014,2,Divorced
10259,0,44," $104,634 ",6,enrolled,6/8/2013,4,Married
10260,0,43," $98,676 ",5,enrolled,6/17/2015,1,Single
10261,0,26," $43,024 ",6,not enrolled,NA,1,Single
10262,0,67," $136,318 ",5,enrolled,5/28/2012,4,Married
10263,1,30," $53,656 ",1,not enrolled,NA,4,Married
10264,1,41," $92,690 ",2,not enrolled,NA,4,Married
10265,1,41," $92,854 ",4,not enrolled,NA,6,Married
10266,0,68," $136,610 ",6,enrolled,3/11/2011,4,Married
10267,0,42," $96,674 ",10,enrolled,12/13/2013,6,Married
10268,0,36," $78,782 ",5,not enrolled,NA,2,Single
10269,1,32," $60,837 ",9,enrolled,3/10/2009,3,Married
10270,1,47," $112,878 ",5,enrolled,7/22/2004,4,Married
10271,1,69," $137,307 ",7,not enrolled,NA,2,Married
10272,0,31," $58,428 ",10,not enrolled,NA,3,Divorced
10273,0,87," $147,087 ",6,enrolled,9/24/2009,2,Single
10274,1,29," $50,472 ",10,not enrolled,NA,4,Married
10275,0,19," $23,770 ",5,enrolled,10/14/2010,2,Single
10276,1,30," $54,192 ",10,enrolled,7/24/2012,3,Married
10277,0,69," $137,361 ",9,enrolled,9/16/2004,3,Married
10278,0,36," $78,819 ",5,not enrolled,NA,3,Married
10279,0,45," $109,231 ",10,not enrolled,NA,1,Single
10280,1,57," $123,261 ",10,enrolled,10/28/2009,6,Married
10281,1,43," $98,841 ",10,not enrolled,NA,1,Divorced
10282,1,37," $82,183 ",4,not enrolled,NA,4,Married
10283,0,37," $82,569 ",6,not enrolled,NA,5,Married
10284,0,39," $86,838 ",6,enrolled,8/17/2005,6,Married
10285,0,72," $137,696 ",9,enrolled,10/31/2005,3,Single
10286,0,36," $79,003 ",1,not enrolled,NA,5,Married
10287,1,45," $109,292 ",5,not enrolled,NA,1,Single
10288,0,41," $93,229 ",6,not enrolled,NA,6,Married
10289,1,50," $118,377 ",7,enrolled,9/15/2007,2,Married
10290,0,62," $131,930 ",8,enrolled,9/9/2010,2,Single
10291,1,64," $133,712 ",4,not enrolled,NA,3,Married
10292,0,21," $28,930 ",1,not enrolled,NA,2,Single
10293,0,25," $40,606 ",2,not enrolled,NA,4,Married
10294,1,89," $148,726 ",10,not enrolled,NA,2,Married
10295,0,21," $29,978 ",6,enrolled,4/25/2013,1,Single
10296,1,30," $54,748 ",10,enrolled,3/29/2012,2,Single
10297,0,26," $43,094 ",9,not enrolled,NA,4,Married
10298,1,21," $30,487 ",10,not enrolled,NA,1,Single
10299,0,32," $63,010 ",3,not enrolled,NA,5,Married
10300,1,40," $90,946 ",10,enrolled,6/21/2014,2,Single
10301,0,24," $37,332 ",10,enrolled,1/15/2015,2,Married
10302,1,36," $79,170 ",5,enrolled,11/4/2008,3,Single
10303,1,37," $82,742 ",2,not enrolled,NA,5,Married
10304,0,64," $133,953 ",9,enrolled,8/14/2012,4,Married
10305,0,28," $47,468 ",10,enrolled,8/6/2014,4,Married
10306,0,77," $139,881 ",7,enrolled,9/3/2012,3,Married
10307,0,25," $41,079 ",8,not enrolled,NA,3,Married
10308,1,26," $43,208 ",5,not enrolled,NA,3,Married
10309,0,59," $127,913 ",4,not enrolled,NA,6,Married
10310,1,20," $26,322 ",6,enrolled,9/29/2013,2,Single
10311,0,28," $47,637 ",5,enrolled,1/1/2012,4,Divorced
10312,0,43," $99,216 ",7,enrolled,4/11/2015,4,Married
10313,0,34," $72,095 ",7,enrolled,8/7/2011,1,Single
10314,1,39," $86,855 ",8,enrolled,7/9/2009,3,Married
10315,0,40," $91,000 ",8,enrolled,1/22/2014,6,Married
10316,0,35," $75,800 ",6,not enrolled,NA,1,Divorced
10317,0,22," $33,431 ",9,enrolled,6/21/2011,2,Married
10318,1,85," $144,355 ",7,enrolled,11/23/2014,1,Widow/Widower
10319,0,44," $104,674 ",7,enrolled,7/23/2005,5,Married
10320,0,31," $58,630 ",10,not enrolled,NA,4,Married
10321,0,42," $96,905 ",2,not enrolled,NA,5,Married
10322,1,35," $75,844 ",5,enrolled,1/5/2007,3,Married
10323,1,24," $37,348 ",7,enrolled,6/2/2016,2,Married
10324,1,32," $63,075 ",5,not enrolled,NA,4,Married
10325,0,23," $36,141 ",7,enrolled,11/13/2013,4,Married
10326,1,31," $58,994 ",9,not enrolled,NA,2,Single
10327,1,33," $68,625 ",7,enrolled,10/1/2011,3,Married
10328,1,20," $26,414 ",10,enrolled,5/10/2014,1,Single
10329,1,54," $120,837 ",7,enrolled,5/31/2004,2,Married
10330,1,28," $47,987 ",6,enrolled,7/26/2015,1,Single
10331,0,27," $44,465 ",7,enrolled,3/20/2016,2,Single
10332,0,44," $105,346 ",3,not enrolled,NA,3,Divorced
10333,0,24," $37,842 ",8,enrolled,9/13/2011,2,Divorced
10334,1,34," $72,261 ",6,not enrolled,NA,1,Divorced
10335,0,38," $84,917 ",9,not enrolled,NA,4,Married
10336,1,19," $23,823 ",10,enrolled,9/6/2014,1,Single
10337,0,18," $22,422 ",7,enrolled,7/25/2015,1,Single
10338,0,45," $109,385 ",2,not enrolled,NA,5,Married
10339,1,43," $99,245 ",6,enrolled,5/1/2015,2,Married
10340,1,44," $105,391 ",6,enrolled,12/17/2007,5,Married
10341,0,43," $99,456 ",6,not enrolled,NA,6,Single
10342,0,67," $136,511 ",5,enrolled,5/20/2006,2,Widow/Widower
10343,0,45," $109,503 ",4,not enrolled,NA,5,Married
10344,1,36," $79,192 ",1,not enrolled,NA,6,Married
10345,0,43," $99,528 ",2,not enrolled,NA,3,Married
10346,1,56," $123,091 ",5,enrolled,12/27/2006,4,Married
10347,0,35," $76,203 ",6,enrolled,8/22/2012,4,Married
10348,0,86," $146,025 ",7,not enrolled,NA,2,Single
10349,0,45," $109,667 ",5,not enrolled,NA,1,Single
10350,1,33," $68,899 ",7,not enrolled,NA,6,Married
10351,0,21," $30,576 ",7,enrolled,2/11/2013,2,Married
10352,0,39," $86,938 ",8,enrolled,8/9/2014,5,Married
10353,0,28," $48,335 ",4,not enrolled,NA,1,Single
10354,1,49," $117,082 ",10,enrolled,3/31/2010,1,Single
10355,0,73," $138,121 ",2,not enrolled,NA,2,Divorced
10356,1,74," $138,743 ",8,enrolled,9/23/2004,2,Single
10357,0,46," $112,035 ",9,enrolled,11/11/2004,4,Married
10358,0,34," $72,824 ",5,not enrolled,NA,3,Married
10359,1,31," $59,172 ",1,not enrolled,NA,6,Married
10360,1,41," $93,461 ",7,enrolled,12/15/2009,6,Married
10361,0,76," $139,385 ",7,enrolled,1/20/2009,1,Widow/Widower
10362,0,41," $93,545 ",10,enrolled,8/29/2014,1,Divorced
10363,1,20," $26,480 ",6,not enrolled,NA,1,Single
10364,1,49," $117,745 ",8,enrolled,9/18/2012,2,Married
10365,1,41," $93,939 ",8,not enrolled,NA,6,Married
10366,0,24," $38,010 ",9,enrolled,12/24/2016,3,Married
10367,1,34," $73,127 ",5,enrolled,11/26/2014,2,Single
10368,1,55," $121,879 ",7,enrolled,12/1/2009,4,Married
10369,0,47," $112,988 ",7,not enrolled,NA,4,Married
10370,1,39," $87,005 ",1,not enrolled,NA,1,Divorced
10371,1,49," $117,800 ",10,not enrolled,NA,1,Single
10372,0,32," $63,509 ",5,not enrolled,NA,1,Single
10373,1,34," $73,789 ",9,enrolled,10/25/2015,5,Married
10374,0,65," $134,227 ",7,not enrolled,NA,1,Single
10375,1,33," $69,219 ",9,not enrolled,NA,3,Married
10376,1,87," $147,279 ",5,enrolled,3/7/2003,3,Married
10377,0,48," $115,285 ",7,enrolled,3/13/2006,1,Single
10378,1,33," $69,329 ",6,not enrolled,NA,6,Married
10379,0,31," $59,251 ",6,not enrolled,NA,1,Single
10380,1,43," $100,285 ",7,enrolled,6/28/2012,2,Married
10381,0,40," $91,181 ",10,enrolled,7/14/2015,4,Married
10382,0,20," $26,662 ",7,enrolled,2/6/2015,2,Single
10383,0,27," $44,892 ",6,enrolled,6/18/2014,2,Married
10384,1,20," $26,693 ",6,enrolled,2/5/2015,2,Single
10385,0,59," $128,628 ",6,enrolled,9/30/2008,1,Single
10386,1,34," $74,224 ",8,not enrolled,NA,6,Married
10387,1,25," $41,140 ",6,enrolled,9/28/2016,3,Married
10388,0,38," $85,236 ",2,not enrolled,NA,4,Married
10389,1,79," $140,959 ",9,enrolled,8/17/2012,3,Married
10390,1,21," $30,672 ",6,not enrolled,NA,1,Single
10391,1,80," $141,491 ",5,enrolled,8/15/2009,2,Widow/Widower
10392,1,30," $54,768 ",5,enrolled,1/8/2011,4,Married
10393,1,37," $82,821 ",6,not enrolled,NA,6,Married
10394,0,60," $129,671 ",5,enrolled,10/4/2009,1,Widow/Widower
10395,1,23," $36,534 ",4,not enrolled,NA,1,Single
10396,1,45," $109,894 ",9,enrolled,1/21/2004,6,Single
10397,0,76," $139,802 ",7,enrolled,10/30/2009,2,Married
10398,1,39," $87,284 ",7,enrolled,5/31/2008,2,Single
10399,1,75," $139,194 ",6,enrolled,1/11/2013,3,Single
10400,1,36," $79,399 ",9,not enrolled,NA,3,Married
10401,0,49," $117,930 ",1,not enrolled,NA,1,Divorced
10402,0,72," $137,854 ",6,enrolled,12/21/2015,2,Single
10403,1,30," $55,584 ",2,not enrolled,NA,4,Married
10404,1,31," $59,452 ",9,enrolled,9/6/2008,2,Married
10405,0,80," $141,953 ",7,not enrolled,NA,3,Married
10406,1,33," $69,375 ",1,not enrolled,NA,1,Single
10407,0,28," $48,357 ",2,not enrolled,NA,4,Single
10408,1,90," $149,999 ",9,enrolled,8/18/2006,1,Single
10409,0,38," $85,265 ",10,not enrolled,NA,5,Divorced
10410,1,38," $85,535 ",6,not enrolled,NA,1,Single
10411,0,62," $132,397 ",7,enrolled,9/27/2006,4,Married
10412,1,43," $100,773 ",4,not enrolled,NA,2,Single
10413,1,19," $24,099 ",8,enrolled,3/9/2015,1,Single
10414,0,36," $79,654 ",5,not enrolled,NA,3,Single
10415,1,63," $133,056 ",7,enrolled,11/1/2015,4,Married
10416,1,22," $33,744 ",10,enrolled,12/28/2012,1,Single
10417,0,54," $120,908 ",10,enrolled,8/14/2014,1,Widow/Widower
10418,1,45," $110,368 ",1,not enrolled,NA,6,Married
10419,0,63," $133,437 ",3,not enrolled,NA,3,Married
10420,0,30," $55,901 ",10,enrolled,3/3/2011,1,Single
10421,1,22," $33,875 ",9,not enrolled,NA,1,Single
10422,0,41," $94,129 ",7,not enrolled,NA,2,Single
10423,1,32," $63,610 ",9,not enrolled,NA,2,Married
10424,1,39," $87,811 ",2,not enrolled,NA,3,Married
10425,1,45," $110,662 ",6,enrolled,6/15/2004,3,Divorced
10426,1,35," $76,561 ",3,not enrolled,NA,1,Single
10427,0,78," $140,212 ",7,not enrolled,NA,3,Married
10428,1,45," $110,876 ",10,enrolled,5/24/2013,2,Single
10429,0,32," $63,745 ",1,not enrolled,NA,1,Single
10430,0,24," $38,077 ",5,enrolled,1/8/2012,3,Married
10431,1,48," $115,403 ",7,enrolled,2/6/2007,1,Divorced
10432,1,36," $80,054 ",9,not enrolled,NA,2,Divorced
10433,0,32," $63,953 ",5,enrolled,12/1/2005,6,Married
